+--------------------+-----------------------------------------------------------------------------------------------------+
| section            | note                                                                                                |
+--------------------+-----------------------------------------------------------------------------------------------------+
| defiant_audit_note | This audit intentionally uses conservative schema columns so it works on the restored MSR baseline. |
+--------------------+-----------------------------------------------------------------------------------------------------+
+--------------------------+-------------------+----------------------+-------------+----------------+
| section                  | COLUMN_NAME       | COLUMN_TYPE          | IS_NULLABLE | COLUMN_DEFAULT |
+--------------------------+-------------------+----------------------+-------------+----------------+
| lootdrop_entries_columns | lootdrop_id       | int(11) unsigned     | NO          | 0              |
| lootdrop_entries_columns | item_id           | int(11)              | NO          | 0              |
| lootdrop_entries_columns | item_charges      | smallint(2) unsigned | NO          | 1              |
| lootdrop_entries_columns | equip_item        | tinyint(2) unsigned  | NO          | 0              |
| lootdrop_entries_columns | chance            | float                | NO          | 1              |
| lootdrop_entries_columns | disabled_chance   | float                | NO          | 0              |
| lootdrop_entries_columns | trivial_min_level | smallint(5) unsigned | NO          | 0              |
| lootdrop_entries_columns | trivial_max_level | smallint(5) unsigned | NO          | 0              |
| lootdrop_entries_columns | multiplier        | tinyint(2) unsigned  | NO          | 1              |
| lootdrop_entries_columns | npc_min_level     | smallint(5) unsigned | NO          | 0              |
| lootdrop_entries_columns | npc_max_level     | smallint(5) unsigned | NO          | 0              |
+--------------------------+-------------------+----------------------+-------------+----------------+
+---------------------------+--------------+---------------------+-------------+----------------+
| section                   | COLUMN_NAME  | COLUMN_TYPE         | IS_NULLABLE | COLUMN_DEFAULT |
+---------------------------+--------------+---------------------+-------------+----------------+
| loottable_entries_columns | loottable_id | int(11) unsigned    | NO          | 0              |
| loottable_entries_columns | lootdrop_id  | int(11) unsigned    | NO          | 0              |
| loottable_entries_columns | multiplier   | tinyint(2) unsigned | NO          | 1              |
| loottable_entries_columns | droplimit    | tinyint(2) unsigned | NO          | 0              |
| loottable_entries_columns | mindrop      | tinyint(2) unsigned | NO          | 0              |
| loottable_entries_columns | probability  | float               | NO          | 100            |
+---------------------------+--------------+---------------------+-------------+----------------+
+----------------------+------------------------+----------------------+-------------+----------------+
| section              | COLUMN_NAME            | COLUMN_TYPE          | IS_NULLABLE | COLUMN_DEFAULT |
+----------------------+------------------------+----------------------+-------------+----------------+
| merchantlist_columns | merchantid             | int(11)              | NO          | 0              |
| merchantlist_columns | slot                   | int(11) unsigned     | NO          | 0              |
| merchantlist_columns | item                   | int(11)              | NO          | 0              |
| merchantlist_columns | faction_required       | smallint(6)          | NO          | -100           |
| merchantlist_columns | level_required         | tinyint(3) unsigned  | NO          | 0              |
| merchantlist_columns | min_status             | tinyint(3) unsigned  | NO          | 0              |
| merchantlist_columns | max_status             | tinyint(3) unsigned  | NO          | 255            |
| merchantlist_columns | alt_currency_cost      | smallint(5) unsigned | NO          | 0              |
| merchantlist_columns | classes_required       | int(11)              | NO          | 65535          |
| merchantlist_columns | probability            | int(3)               | NO          | 100            |
| merchantlist_columns | bucket_name            | varchar(100)         | NO          | ''             |
| merchantlist_columns | bucket_value           | varchar(100)         | NO          | ''             |
| merchantlist_columns | bucket_comparison      | tinyint(3) unsigned  | YES         | 0              |
| merchantlist_columns | min_expansion          | tinyint(4)           | NO          | -1             |
| merchantlist_columns | max_expansion          | tinyint(4)           | NO          | -1             |
| merchantlist_columns | content_flags          | varchar(100)         | YES         | NULL           |
| merchantlist_columns | content_flags_disabled | varchar(100)         | YES         | NULL           |
+----------------------+------------------------+----------------------+-------------+----------------+
+--------------------+-------------+
| section            | count_value |
+--------------------+-------------+
| defiant_item_count |         417 |
+--------------------+-------------+
+----------------------+-------+--------------------------------------+----------+---------+-------+---------+----------+----------+--------+--------+
| section              | id    | Name                                 | itemtype | classes | races | slots   | reqlevel | reclevel | nodrop | norent |
| defiant_items_sample | 50154 | Intricate Defiant Chain Bracer       |       10 |   33544 | 65535 |    1536 |       48 |       60 |      1 |      1 |
| defiant_items_sample | 50155 | Intricate Defiant Chain Wristguard   |       10 |   33544 | 65535 |    1536 |       48 |       60 |      1 |      1 |
| defiant_items_sample | 50156 | Intricate Defiant Chain Gauntlets    |       10 |   33544 | 65535 |    4096 |       48 |       60 |      1 |      1 |
| defiant_items_sample | 50157 | Intricate Defiant Chain Boots        |       10 |   33544 | 65535 |  524288 |       48 |       60 |      1 |      1 |
| defiant_items_sample | 50158 | Intricate Defiant Chain Coif         |       10 |   33544 | 65535 |       4 |       48 |       60 |      1 |      1 |
| defiant_items_sample | 50159 | Intricate Defiant Chain Sleeves      |       10 |   33544 | 65535 |     128 |       48 |       60 |      1 |      1 |
| defiant_items_sample | 50160 | Intricate Defiant Chain Leggings     |       10 |   33544 | 65535 |  262144 |       48 |       60 |      1 |      1 |
| defiant_items_sample | 50161 | Intricate Defiant Chain Tunic        |       10 |   33544 | 65535 |  131072 |       48 |       60 |      1 |      1 |
| defiant_items_sample | 50162 | Intricate Defiant Leather Bracer     |       10 |   16480 | 65535 |    1536 |       48 |       60 |      1 |      1 |
| defiant_items_sample | 50163 | Intricate Defiant Leather Wristguard |       10 |   16480 | 65535 |    1536 |       48 |       60 |      1 |      1 |
| defiant_items_sample | 50164 | Intricate Defiant Leather Gloves     |       10 |   16480 | 65535 |    4096 |       48 |       60 |      1 |      1 |
| defiant_items_sample | 50165 | Intricate Defiant Leather Boots      |       10 |   16480 | 65535 |  524288 |       48 |       60 |      1 |      1 |
| defiant_items_sample | 50166 | Intricate Defiant Leather Cap        |       10 |   16480 | 65535 |       4 |       48 |       60 |      1 |      1 |
| defiant_items_sample | 50167 | Intricate Defiant Leather Sleeves    |       10 |   16480 | 65535 |     128 |       48 |       60 |      1 |      1 |
| defiant_items_sample | 50168 | Intricate Defiant Leather Trousers   |       10 |   16480 | 65535 |  262144 |       48 |       60 |      1 |      1 |
| defiant_items_sample | 50169 | Intricate Defiant Leather Tunic      |       10 |   16480 | 65535 |  131072 |       48 |       60 |      1 |      1 |
| defiant_items_sample | 50170 | Intricate Defiant Silk Wristguard    |       10 |   15360 | 65535 |    1536 |       48 |       60 |      1 |      1 |
| defiant_items_sample | 50171 | Intricate Defiant Silk Wristband     |       10 |   15360 | 65535 |    1536 |       48 |       60 |      1 |      1 |
| defiant_items_sample | 50172 | Intricate Defiant Silk Wristwrap     |       10 |   15360 | 65535 |    1536 |       48 |       60 |      1 |      1 |
| defiant_items_sample | 50173 | Intricate Defiant Silk Gloves        |       10 |   15360 | 65535 |    4096 |       48 |       60 |      1 |      1 |
| defiant_items_sample | 50174 | Intricate Defiant Silk Sandals       |       10 |   15360 | 65535 |  524288 |       48 |       60 |      1 |      1 |
| defiant_items_sample | 50175 | Intricate Defiant Silk Cap           |       10 |   15360 | 65535 |       4 |       48 |       60 |      1 |      1 |
| defiant_items_sample | 50176 | Intricate Defiant Silk Sleeves       |       10 |   15360 | 65535 |     128 |       48 |       60 |      1 |      1 |
| defiant_items_sample | 50177 | Intricate Defiant Silk Pantaloons    |       10 |   15360 | 65535 |  262144 |       48 |       60 |      1 |      1 |
| defiant_items_sample | 50178 | Intricate Defiant Silk Robe          |       10 |   15360 | 65535 |  131072 |       48 |       60 |      1 |      1 |
| defiant_items_sample | 50179 | Elaborate Defiant Plate Bracer       |       10 |     151 | 65535 |    1536 |       59 |       70 |      1 |      1 |
| defiant_items_sample | 50180 | Elaborate Defiant Plate Wristguard   |       10 |     151 | 65535 |    1536 |       59 |       70 |      1 |      1 |
| defiant_items_sample | 50181 | Elaborate Defiant Plate Wristband    |       10 |     151 | 65535 |    1536 |       59 |       70 |      1 |      1 |
| defiant_items_sample | 50182 | Elaborate Defiant Plate Gauntlets    |       10 |     151 | 65535 |    4096 |       59 |       70 |      1 |      1 |
| defiant_items_sample | 50183 | Elaborate Defiant Plate Boots        |       10 |     151 | 65535 |  524288 |       59 |       70 |      1 |      1 |
| defiant_items_sample | 50184 | Elaborate Defiant Plate Helm         |       10 |     151 | 65535 |       4 |       59 |       70 |      1 |      1 |
| defiant_items_sample | 50185 | Elaborate Defiant Plate Vambraces    |       10 |     151 | 65535 |     128 |       59 |       70 |      1 |      1 |
| defiant_items_sample | 50186 | Elaborate Defiant Plate Greaves      |       10 |     151 | 65535 |  262144 |       59 |       70 |      1 |      1 |
| defiant_items_sample | 50187 | Elaborate Defiant Breastplate        |       10 |     151 | 65535 |  131072 |       59 |       70 |      1 |      1 |
| defiant_items_sample | 50188 | Elaborate Defiant Chain Bracer       |       10 |   33544 | 65535 |    1536 |       59 |       70 |      1 |      1 |
| defiant_items_sample | 50189 | Elaborate Defiant Chain Wristguard   |       10 |   33544 | 65535 |    1536 |       59 |       70 |      1 |      1 |
| defiant_items_sample | 50190 | Elaborate Defiant Chain Gauntlets    |       10 |   33544 | 65535 |    4096 |       59 |       70 |      1 |      1 |
| defiant_items_sample | 50191 | Elaborate Defiant Chain Boots        |       10 |   33544 | 65535 |  524288 |       59 |       70 |      1 |      1 |
| defiant_items_sample | 50192 | Elaborate Defiant Chain Coif         |       10 |   33544 | 65535 |       4 |       59 |       70 |      1 |      1 |
| defiant_items_sample | 50193 | Elaborate Defiant Chain Sleeves      |       10 |   33544 | 65535 |     128 |       59 |       70 |      1 |      1 |
| defiant_items_sample | 50194 | Elaborate Defiant Chain Leggings     |       10 |   33544 | 65535 |  262144 |       59 |       70 |      1 |      1 |
| defiant_items_sample | 50195 | Elaborate Defiant Chain Tunic        |       10 |   33544 | 65535 |  131072 |       59 |       70 |      1 |      1 |
| defiant_items_sample | 50196 | Elaborate Defiant Leather Bracer     |       10 |   16480 | 65535 |    1536 |       59 |       70 |      1 |      1 |
| defiant_items_sample | 50197 | Elaborate Defiant Leather Wristguard |       10 |   16480 | 65535 |    1536 |       59 |       70 |      1 |      1 |
| defiant_items_sample | 50198 | Elaborate Defiant Leather Gloves     |       10 |   16480 | 65535 |    4096 |       59 |       70 |      1 |      1 |
| defiant_items_sample | 50199 | Elaborate Defiant Leather Boots      |       10 |   16480 | 65535 |  524288 |       59 |       70 |      1 |      1 |
| defiant_items_sample | 50200 | Elaborate Defiant Leather Cap        |       10 |   16480 | 65535 |       4 |       59 |       70 |      1 |      1 |
| defiant_items_sample | 50201 | Elaborate Defiant Leather Sleeves    |       10 |   16480 | 65535 |     128 |       59 |       70 |      1 |      1 |
| defiant_items_sample | 50202 | Elaborate Defiant Leather Trousers   |       10 |   16480 | 65535 |  262144 |       59 |       70 |      1 |      1 |
| defiant_items_sample | 50203 | Elaborate Defiant Leather Tunic      |       10 |   16480 | 65535 |  131072 |       59 |       70 |      1 |      1 |
| defiant_items_sample | 50204 | Elaborate Defiant Silk Wristguard    |       10 |   15360 | 65535 |    1536 |       59 |       70 |      1 |      1 |
| defiant_items_sample | 50205 | Elaborate Defiant Silk Wristband     |       10 |   15360 | 65535 |    1536 |       59 |       70 |      1 |      1 |
| defiant_items_sample | 50206 | Elaborate Defiant Silk Wristwrap     |       10 |   15360 | 65535 |    1536 |       59 |       70 |      1 |      1 |
| defiant_items_sample | 50207 | Elaborate Defiant Silk Gloves        |       10 |   15360 | 65535 |    4096 |       59 |       70 |      1 |      1 |
| defiant_items_sample | 50208 | Elaborate Defiant Silk Sandals       |       10 |   15360 | 65535 |  524288 |       59 |       70 |      1 |      1 |
| defiant_items_sample | 50209 | Elaborate Defiant Silk Cap           |       10 |   15360 | 65535 |       4 |       59 |       70 |      1 |      1 |
| defiant_items_sample | 50210 | Elaborate Defiant Silk Sleeves       |       10 |   15360 | 65535 |     128 |       59 |       70 |      1 |      1 |
| defiant_items_sample | 50211 | Elaborate Defiant Silk Pantaloons    |       10 |   15360 | 65535 |  262144 |       59 |       70 |      1 |      1 |
| defiant_items_sample | 50212 | Elaborate Defiant Silk Robe          |       10 |   15360 | 65535 |  131072 |       59 |       70 |      1 |      1 |
| defiant_items_sample | 50213 | Elegant Defiant Plate Bracer         |       10 |     151 | 65535 |    1536 |       70 |       80 |      1 |      1 |
| defiant_items_sample | 50214 | Elegant Defiant Plate Wristguard     |       10 |     151 | 65535 |    1536 |       70 |       80 |      1 |      1 |
| defiant_items_sample | 50215 | Elegant Defiant Plate Wristband      |       10 |     151 | 65535 |    1536 |       70 |       80 |      1 |      1 |
| defiant_items_sample | 50216 | Elegant Defiant Plate Gauntlets      |       10 |     151 | 65535 |    4096 |       70 |       80 |      1 |      1 |
| defiant_items_sample | 50217 | Elegant Defiant Plate Boots          |       10 |     151 | 65535 |  524288 |       70 |       80 |      1 |      1 |
| defiant_items_sample | 50218 | Elegant Defiant Plate Helm           |       10 |     151 | 65535 |       4 |       70 |       80 |      1 |      1 |
| defiant_items_sample | 50219 | Elegant Defiant Plate Vambraces      |       10 |     151 | 65535 |     128 |       70 |       80 |      1 |      1 |
| defiant_items_sample | 50220 | Elegant Defiant Plate Greaves        |       10 |     151 | 65535 |  262144 |       70 |       80 |      1 |      1 |
| defiant_items_sample | 50221 | Elegant Defiant Breastplate          |       10 |     151 | 65535 |  131072 |       70 |       80 |      1 |      1 |
| defiant_items_sample | 50222 | Elegant Defiant Chain Bracer         |       10 |   33544 | 65535 |    1536 |       70 |       80 |      1 |      1 |
| defiant_items_sample | 50223 | Elegant Defiant Chain Wristguard     |       10 |   33544 | 65535 |    1536 |       70 |       80 |      1 |      1 |
| defiant_items_sample | 50224 | Elegant Defiant Chain Gauntlets      |       10 |   33544 | 65535 |    4096 |       70 |       80 |      1 |      1 |
| defiant_items_sample | 50225 | Elegant Defiant Chain Boots          |       10 |   33544 | 65535 |  524288 |       70 |       80 |      1 |      1 |
| defiant_items_sample | 50226 | Elegant Defiant Chain Coif           |       10 |   33544 | 65535 |       4 |       70 |       80 |      1 |      1 |
| defiant_items_sample | 50227 | Elegant Defiant Chain Sleeves        |       10 |   33544 | 65535 |     128 |       70 |       80 |      1 |      1 |
| defiant_items_sample | 50228 | Elegant Defiant Chain Leggings       |       10 |   33544 | 65535 |  262144 |       70 |       80 |      1 |      1 |
| defiant_items_sample | 50229 | Elegant Defiant Chain Tunic          |       10 |   33544 | 65535 |  131072 |       70 |       80 |      1 |      1 |
| defiant_items_sample | 50230 | Elegant Defiant Leather Bracer       |       10 |   16480 | 65535 |    1536 |       70 |       80 |      1 |      1 |
| defiant_items_sample | 50231 | Elegant Defiant Leather Wristguard   |       10 |   16480 | 65535 |    1536 |       70 |       80 |      1 |      1 |
| defiant_items_sample | 50232 | Elegant Defiant Leather Gloves       |       10 |   16480 | 65535 |    4096 |       70 |       80 |      1 |      1 |
| defiant_items_sample | 50233 | Elegant Defiant Leather Boots        |       10 |   16480 | 65535 |  524288 |       70 |       80 |      1 |      1 |
| defiant_items_sample | 50234 | Elegant Defiant Leather Cap          |       10 |   16480 | 65535 |       4 |       70 |       80 |      1 |      1 |
| defiant_items_sample | 50235 | Elegant Defiant Leather Sleeves      |       10 |   16480 | 65535 |     128 |       70 |       80 |      1 |      1 |
| defiant_items_sample | 50236 | Elegant Defiant Leather Trousers     |       10 |   16480 | 65535 |  262144 |       70 |       80 |      1 |      1 |
| defiant_items_sample | 50237 | Elegant Defiant Leather Tunic        |       10 |   16480 | 65535 |  131072 |       70 |       80 |      1 |      1 |
| defiant_items_sample | 50238 | Elegant Defiant Silk Wristguard      |       10 |   15360 | 65535 |    1536 |       70 |       80 |      1 |      1 |
| defiant_items_sample | 50239 | Elegant Defiant Silk Wristband       |       10 |   15360 | 65535 |    1536 |       70 |       80 |      1 |      1 |
| defiant_items_sample | 50240 | Elegant Defiant Silk Wristwrap       |       10 |   15360 | 65535 |    1536 |       70 |       80 |      1 |      1 |
| defiant_items_sample | 50241 | Elegant Defiant Silk Gloves          |       10 |   15360 | 65535 |    4096 |       70 |       80 |      1 |      1 |
| defiant_items_sample | 50242 | Elegant Defiant Silk Sandals         |       10 |   15360 | 65535 |  524288 |       70 |       80 |      1 |      1 |
| defiant_items_sample | 50243 | Elegant Defiant Silk Cap             |       10 |   15360 | 65535 |       4 |       70 |       80 |      1 |      1 |
| defiant_items_sample | 50244 | Elegant Defiant Silk Sleeves         |       10 |   15360 | 65535 |     128 |       70 |       80 |      1 |      1 |
| defiant_items_sample | 50245 | Elegant Defiant Silk Pantaloons      |       10 |   15360 | 65535 |  262144 |       70 |       80 |      1 |      1 |
| defiant_items_sample | 50246 | Elegant Defiant Silk Robe            |       10 |   15360 | 65535 |  131072 |       70 |       80 |      1 |      1 |
| defiant_items_sample | 50500 | Crude Defiant Amethyst               |       54 |   65535 | 65535 | 2070526 |        0 |       10 |      1 |      1 |
| defiant_items_sample | 50501 | Crude Defiant Emerald                |       54 |   65535 | 65535 | 2070526 |        0 |       10 |      1 |      1 |
| defiant_items_sample | 50502 | Crude Defiant Ruby Shard             |       54 |   65535 | 65535 | 2070526 |        0 |       10 |      1 |      1 |
| defiant_items_sample | 50503 | Crude Defiant Granite Pebble         |       54 |   65535 | 65535 | 2070526 |        0 |       10 |      1 |      1 |
| defiant_items_sample | 50504 | Crude Defiant Stone Fragment         |       54 |   65535 | 65535 | 2070526 |        0 |       10 |      1 |      1 |
| defiant_items_sample | 50505 | Crude Defiant Turquoise              |       54 |   65535 | 65535 | 2070526 |        0 |       10 |      1 |      1 |
| defiant_items_sample | 50506 | Crude Defiant Mace                   |        3 |   16861 | 65535 |   24576 |        0 |       10 |      1 |      1 |
| defiant_items_sample | 50507 | Crude Defiant Club                   |        3 |   15906 | 65535 |    8192 |        0 |       10 |      1 |      1 |
| defiant_items_sample | 50508 | Crude Defiant Shortsword             |        0 |     413 | 65535 |   24576 |        0 |       10 |      1 |      1 |
| defiant_items_sample | 50509 | Crude Defiant Axe                    |        0 |     413 | 65535 |   24576 |        0 |       10 |      1 |      1 |
| defiant_items_sample | 50510 | Crude Defiant Dagger                 |        2 |   16793 | 65535 |   24576 |        0 |       10 |      1 |      1 |
| defiant_items_sample | 50511 | Crude Defiant Spear                  |        2 |   15872 | 65535 |    8192 |        0 |       10 |      1 |      1 |
| defiant_items_sample | 50512 | Crude Defiant Fists                  |       45 |   16448 | 65535 |   24576 |        0 |       10 |      1 |      1 |
| defiant_items_sample | 50513 | Crude Defiant Quarterstaff           |        4 |   49245 | 65535 |    8192 |        0 |       10 |      1 |      1 |
| defiant_items_sample | 50514 | Crude Defiant Greatspear             |       35 |   32797 | 65535 |    8192 |        0 |       10 |      1 |      1 |
| defiant_items_sample | 50515 | Crude Defiant Greatsword             |        1 |   32797 | 65535 |    8192 |        0 |       10 |      1 |      1 |
| defiant_items_sample | 50516 | Crude Defiant Bow                    |        5 |     285 | 65535 |    2048 |        0 |       10 |      1 |      1 |
| defiant_items_sample | 50517 | Crude Defiant Spiked Shield          |        8 |   16861 | 65535 |   16384 |        0 |       10 |      1 |      1 |
| defiant_items_sample | 50518 | Crude Defiant Buckler                |        8 |   15906 | 65535 |   16384 |        0 |       10 |      1 |      1 |
| defiant_items_sample | 50519 | Simple Defiant Alexandrite Shard     |       54 |   65535 | 65535 | 2070526 |        5 |       20 |      1 |      1 |
| defiant_items_sample | 50520 | Simple Defiant Bluestone             |       54 |   65535 | 65535 | 2070526 |        5 |       20 |      1 |      1 |
| defiant_items_sample | 50521 | Simple Defiant Jasper                |       54 |   65535 | 65535 | 2070526 |        5 |       20 |      1 |      1 |
| defiant_items_sample | 50522 | Simple Defiant Garnet                |       54 |   65535 | 65535 | 2070526 |        5 |       20 |      1 |      1 |
| defiant_items_sample | 50523 | Simple Defiant Hammer                |        3 |   16861 | 65535 |   24576 |        5 |       20 |      1 |      1 |
| defiant_items_sample | 50524 | Simple Defiant Wand                  |        3 |   15906 | 65535 |    8192 |        5 |       20 |      1 |      1 |
| defiant_items_sample | 50525 | Simple Defiant Shortsword            |        0 |     413 | 65535 |   24576 |        5 |       20 |      1 |      1 |
| defiant_items_sample | 50526 | Simple Defiant Bastard Sword         |        0 |     413 | 65535 |   24576 |        5 |       20 |      1 |      1 |
| defiant_items_sample | 50527 | Simple Defiant Claw-dagger           |        2 |   16793 | 65535 |   24576 |        5 |       20 |      1 |      1 |
| defiant_items_sample | 50528 | Simple Defiant Dagger                |        2 |   15872 | 65535 |    8192 |        5 |       20 |      1 |      1 |
| defiant_items_sample | 50529 | Simple Defiant Ulak                  |       45 |   16448 | 65535 |   24576 |        5 |       20 |      1 |      1 |
| defiant_items_sample | 50530 | Simple Defiant Twisted Staff         |        4 |   49245 | 65535 |    8192 |        5 |       20 |      1 |      1 |
| defiant_items_sample | 50531 | Simple Defiant Spear                 |       35 |   32797 | 65535 |    8192 |        5 |       20 |      1 |      1 |
| defiant_items_sample | 50532 | Simple Defiant Greataxe              |        1 |   32797 | 65535 |    8192 |        5 |       20 |      1 |      1 |
| defiant_items_sample | 50533 | Simple Defiant Bow                   |        5 |     285 | 65535 |    2048 |        5 |       20 |      1 |      1 |
| defiant_items_sample | 50534 | Simple Defiant Kite Shield           |        8 |   16861 | 65535 |   16384 |        5 |       20 |      1 |      1 |
| defiant_items_sample | 50535 | Simple Defiant Wooden Shield         |        8 |   15906 | 65535 |   16384 |        5 |       20 |      1 |      1 |
| defiant_items_sample | 50536 | Rough Defiant Nihilite Shard         |       54 |   65535 | 65535 | 2070526 |       15 |       30 |      1 |      1 |
| defiant_items_sample | 50537 | Rough Defiant Trillion Amethyst      |       54 |   65535 | 65535 | 2070526 |       15 |       30 |      1 |      1 |
| defiant_items_sample | 50540 | Rough Defiant Hammer                 |        3 |   16861 | 65535 |   24576 |       15 |       30 |      1 |      1 |
| defiant_items_sample | 50541 | Rough Defiant Scepter                |        3 |   15906 | 65535 |    8192 |       15 |       30 |      1 |      1 |
| defiant_items_sample | 50542 | Rough Defiant Shortsword             |        0 |     413 | 65535 |   24576 |       15 |       30 |      1 |      1 |
| defiant_items_sample | 50543 | Rough Defiant Longsword              |        0 |     413 | 65535 |   24576 |       15 |       30 |      1 |      1 |
| defiant_items_sample | 50544 | Rough Defiant Stone Dagger           |        2 |   16793 | 65535 |   24576 |       15 |       30 |      1 |      1 |
| defiant_items_sample | 50545 | Rough Defiant Serrated Dagger        |        2 |   15872 | 65535 |    8192 |       15 |       30 |      1 |      1 |
| defiant_items_sample | 50546 | Rough Defiant Knuckle Dusters        |       45 |   16448 | 65535 |   24576 |       15 |       30 |      1 |      1 |
| defiant_items_sample | 50547 | Rough Defiant Spiked Staff           |        4 |   49245 | 65535 |    8192 |       15 |       30 |      1 |      1 |
| defiant_items_sample | 50548 | Rough Defiant Trident                |       35 |   32797 | 65535 |    8192 |       15 |       30 |      1 |      1 |
| defiant_items_sample | 50549 | Rough Defiant Halberd                |        1 |   32797 | 65535 |    8192 |       15 |       30 |      1 |      1 |
| defiant_items_sample | 50550 | Rough Defiant Bow                    |        5 |     285 | 65535 |    2048 |       15 |       30 |      1 |      1 |
| defiant_items_sample | 50551 | Rough Defiant Chitin Shield          |        8 |   16861 | 65535 |   16384 |       15 |       30 |      1 |      1 |
| defiant_items_sample | 50552 | Rough Defiant Round Shield           |        8 |   15906 | 65535 |   16384 |       15 |       30 |      1 |      1 |
| defiant_items_sample | 50553 | Rough Defiant Charm                  |       52 |   65535 | 65535 |       1 |       15 |       30 |      1 |      1 |
| defiant_items_sample | 50554 | Ornate Defiant Harmonagate           |       54 |   65535 | 65535 | 2070526 |       26 |       40 |      1 |      1 |
| defiant_items_sample | 50555 | Ornate Defiant Geode                 |       54 |   65535 | 65535 | 2070526 |       26 |       40 |      1 |      1 |
| defiant_items_sample | 50556 | Ornate Defiant Bone Sledgehammer     |        3 |   16861 | 65535 |   24576 |       26 |       40 |      1 |      1 |
| defiant_items_sample | 50557 | Ornate Defiant Scepter               |        3 |   15906 | 65535 |    8192 |       26 |       40 |      1 |      1 |
+----------------------+-------+--------------------------------------+----------+---------+-------+---------+----------+----------+--------+--------+
+------------------------------+-------------+
| section                      | count_value |
+------------------------------+-------------+
| defiant_lootdrop_entry_count |         372 |
+------------------------------+-------------+
+--------------------------+-------------+---------+--------------------------------------+--------------+------------+--------+-----------------+
| section                  | lootdrop_id | item_id | Name                                 | item_charges | equip_item | chance | disabled_chance |
+--------------------------+-------------+---------+--------------------------------------+--------------+------------+--------+-----------------+
| defiant_lootdrop_entries |      176432 |   50005 | Crude Defiant Plate Bracer           |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176432 |   50006 | Crude Defiant Plate Gauntlets        |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176432 |   50007 | Crude Defiant Plate Boots            |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176432 |   50008 | Crude Defiant Plate Helm             |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176432 |   50009 | Crude Defiant Plate Vambraces        |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176432 |   50010 | Crude Defiant Plate Greaves          |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176432 |   50011 | Crude Defiant Breastplate            |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176432 |   50012 | Crude Defiant Chain Bracer           |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176432 |   50013 | Crude Defiant Chain Gauntlets        |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176432 |   50014 | Crude Defiant Chain Boots            |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176432 |   50015 | Crude Defiant Chain Coif             |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176432 |   50016 | Crude Defiant Chain Sleeves          |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176432 |   50017 | Crude Defiant Chain Leggings         |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176432 |   50018 | Crude Defiant Chain Tunic            |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176432 |   50019 | Crude Defiant Leather Bracer         |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176432 |   50020 | Crude Defiant Leather Gloves         |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176432 |   50021 | Crude Defiant Leather Boots          |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176432 |   50022 | Crude Defiant Leather Cap            |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176432 |   50023 | Crude Defiant Leather Sleeves        |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176432 |   50024 | Crude Defiant Leather Trousers       |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176432 |   50025 | Crude Defiant Leather Tunic          |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176432 |   50026 | Crude Defiant Cloth Wristwrap        |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176432 |   50027 | Crude Defiant Cloth Gloves           |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176432 |   50028 | Crude Defiant Cloth Sandals          |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176432 |   50029 | Crude Defiant Cloth Cap              |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176432 |   50030 | Crude Defiant Cloth Sleeves          |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176432 |   50031 | Crude Defiant Cloth Pantaloons       |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176432 |   50032 | Crude Defiant Cloth Robe             |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176432 |   50500 | Crude Defiant Amethyst               |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176432 |   50501 | Crude Defiant Emerald                |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176432 |   50502 | Crude Defiant Ruby Shard             |            1 |          1 |      0 |               1 |
| defiant_lootdrop_entries |      176432 |   50503 | Crude Defiant Granite Pebble         |            1 |          1 |      0 |               1 |
